connector,pad,v10_signal,class,oam0_net,oam1_net,oam2_net,oam3_net,oam4_net,oam5_net,oam6_net,oam7_net,wired_on_all_8,notes
Conn0,F26,TEST0,unmapped_nc,,,,,,,,,no,Named in v1.0 but AMD overlay unknown or reserved; no copper
Conn0,G26,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,H26,S2_TX10N,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,J26,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,K26,S2_TX3N,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,L26,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,A27,S2_RX9P,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,B27,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,C27,S2_RX1P,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,D27,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,E27,S2_RX2P,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,F27,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,G27,S2_TX9P,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,H27,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,J27,S2_TX1P,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,K27,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,L27,S2_TX2P,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,A28,S2_RX9N,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,B28,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,C28,S2_RX1N,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,D28,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,E28,S2_RX2N,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,F28,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,G28,S2_TX9N,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,H28,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,J28,S2_TX1N,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,K28,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,L28,S2_TX2N,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,A29,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,B29,S2_RX8P,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,C29,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,D29,S2_RX0P,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,E29,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,F29,TEST1,unmapped_nc,,,,,,,,,no,Named in v1.0 but AMD overlay unknown or reserved; no copper
Conn0,G29,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,H29,S2_TX8P,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,J29,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,K29,S2_TX0P,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,L29,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,A30,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,B30,S2_RX8N,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,C30,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,D30,S2_RX0N,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,E30,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,F30,TEST2,unmapped_nc,,,,,,,,,no,Named in v1.0 but AMD overlay unknown or reserved; no copper
Conn0,G30,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,H30,S2_TX8N,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,J30,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,K30,S2_TX0N,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,L30,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,A31,S3_RX14P,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,B31,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,C31,S3_RX15P,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,D31,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,E31,S3_RX7P,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,F31,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,G31,S3_TX14P,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,H31,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,J31,S3_TX15P,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,K31,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,L31,S3_TX7P,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,A32,S3_RX14N,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,B32,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,C32,S3_RX15N,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,D32,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,E32,S3_RX7N,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,F32,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,G32,S3_TX14N,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,H32,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,J32,S3_TX15N,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,K32,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,L32,S3_TX7N,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,A33,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,B33,S3_RX13P,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,C33,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,D33,S3_RX6P,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,E33,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,F33,TEST3,unmapped_nc,,,,,,,,,no,Named in v1.0 but AMD overlay unknown or reserved; no copper
Conn0,G33,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,H33,S3_TX13P,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,J33,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,K33,S3_TX6P,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,L33,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,A34,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,B34,S3_RX13N,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,C34,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,D34,S3_RX6N,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,E34,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,F34,TEST4,unmapped_nc,,,,,,,,,no,Named in v1.0 but AMD overlay unknown or reserved; no copper
Conn0,G34,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,H34,S3_TX13N,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,J34,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,K34,S3_TX6N,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,L34,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,A35,S3_RX11P,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,B35,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,C35,S3_RX12P,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,D35,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,E35,S3_RX5P,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,F35,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,G35,S3_TX12P,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,H35,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,J35,S3_TX4P,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,K35,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,L35,S3_TX5P,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,A36,S3_RX11N,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,B36,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,C36,S3_RX12N,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,D36,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,E36,S3_RX5N,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,F36,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,G36,S3_TX12N,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,H36,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,J36,S3_TX4N,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,K36,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,L36,S3_TX5N,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,A37,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,B37,S3_RX10P,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,C37,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,D37,S3_RX4P,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
Conn0,E37,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,F37,TEST5,unmapped_nc,,,,,,,,,no,Named in v1.0 but AMD overlay unknown or reserved; no copper
Conn0,G37,GND,power_shared,GND,GND,GND,GND,GND,GND,GND,GND,yes,OCP-named power/ground on all 8 seats. P48V = local per-seat pour on 16 Conn0 pads after fuse keepout; NOT a 100A flood. P12V2 Unknown/may be NC. Do not tie P48V to D3000E-S1 (12 V). DO NOT ENERGIZE.
Conn0,H37,S3_TX11P,serdes_named_not_routed,,,,,,,,,no,Named SerDes (xGMI/IF candidate). NO NET on any seat. Do not route S1-S7.
